LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
01,704,AMERICAN FORK HIGH,01-704,,STVSBGI,Y,N,N,
01,840,DAN W. PETERSON,01-840,,STVSBGI,Y,N,N,
01,790,EAST SHORE ONLINE,01-790,,STVSBGI,Y,N,N,
01,808,HORIZON SCHOOL,01-808,,STVSBGI,Y,N,N,
01,708,LEHI HIGH,01-708,,STVSBGI,Y,N,N,
01,709,LONE PEAK HIGH,01-709,,STVSBGI,Y,N,N,
01,711,MOUNTAIN VIEW HIGH,01-711,,STVSBGI,Y,N,N,
01,712,OREM HIGH,01-712,,STVSBGI,Y,N,N,
01,716,PLEASANT GROVE HIGH,01-716,,STVSBGI,Y,N,N,
01,782,POLARIS HIGH SCHOOL,01-782,,STVSBGI,Y,N,N,
01,785,SKYRIDGE HIGH SCHOOL,01-785,,STVSBGI,Y,N,N,
01,730,SUMMIT HIGH,01-730,,STVSBGI,Y,N,N,
01,718,TIMPANOGOS HIGH,01-718,,STVSBGI,Y,N,N,
01,789,WESTLAKE HIGH,01-789,,STVSBGI,Y,N,N,
02,704,BEAVER HIGH,02-704,,STVSBGI,Y,N,N,
02,708,MILFORD HIGH,02-708,,STVSBGI,Y,N,N,
03,704,BEAR RIVER HIGH,03-704,,STVSBGI,Y,N,N,
03,708,BOX ELDER HIGH,03-708,,STVSBGI,Y,N,N,
03,778,DALE YOUNG COMMUNITY HIGH,03-778,,STVSBGI,Y,N,N,
04,710,CACHE HIGH,04-710,,STVSBGI,Y,N,N,
04,702,MOUNTAIN CREST HIGH,04-702,,STVSBGI,Y,N,N,
04,705,RIDGELINE HIGH SCHOOL,04-705,,STVSBGI,Y,N,N,
04,706,SKY VIEW HIGH,04-706,,STVSBGI,Y,N,N,
04,610,SPECIAL SERVICES,04-610,,STVSBGI,Y,N,N,
05,704,CARBON HIGH,05-704,,STVSBGI,Y,N,N,
05,801,CASTLE VALLEY CENTER,05-801,,STVSBGI,Y,N,N,
05,760,LIGHTHOUSE HIGH,05-760,,STVSBGI,Y,N,N,
06,704,MANILA HIGH,06-704,,STVSBGI,Y,N,N,
07,704,BOUNTIFUL HIGH,07-704,,STVSBGI,Y,N,N,
07,706,CLEARFIELD HIGH,07-706,,STVSBGI,Y,N,N,
07,708,DAVIS HIGH,07-708,,STVSBGI,Y,N,N,
07,710,LAYTON HIGH,07-710,,STVSBGI,Y,N,N,
07,730,MOUNTAIN HIGH,07-730,,STVSBGI,Y,N,N,
07,711,NORTHRIDGE HIGH,07-711,,STVSBGI,Y,N,N,
07,733,RENAISSANCE ACADEMY,07-733,,STVSBGI,Y,N,N,
07,660,STAR TRANSITION,07-660,,STVSBGI,Y,N,N,
07,716,SYRACUSE HIGH,07-716,,STVSBGI,Y,N,N,
07,712,VIEWMONT HIGH,07-712,,STVSBGI,Y,N,N,
07,714,WOODS CROSS HIGH,07-714,,STVSBGI,Y,N,N,
08,704,ALTAMONT HIGH,08-704,,STVSBGI,Y,N,N,
08,802,CON AMORE SCHOOL,08-802,,STVSBGI,Y,N,N,
08,708,DUCHESNE HIGH,08-708,,STVSBGI,Y,N,N,
08,712,TABIONA HIGH,08-712,,STVSBGI,Y,N,N,
08,714,UNION HIGH,08-714,,STVSBGI,Y,N,N,
09,706,EMERY HIGH,09-706,,STVSBGI,Y,N,N,
09,704,GREEN RIVER HIGH,09-704,,STVSBGI,Y,N,N,
10,704,BRYCE VALLEY HIGH,10-704,,STVSBGI,Y,N,N,
10,708,ESCALANTE HIGH,10-708,,STVSBGI,Y,N,N,
10,712,PANGUITCH HIGH,10-712,,STVSBGI,Y,N,N,
11,704,GRAND COUNTY HIGH,11-704,,STVSBGI,Y,N,N,
12,702,COTTONWOOD HIGH,12-702,,STVSBGI,Y,N,N,
12,704,CYPRUS HIGH,12-704,,STVSBGI,Y,N,N,
12,708,GRANGER HIGH,12-708,,STVSBGI,Y,N,N,
12,740,GRANITE CONNECTION HIGH,12-740,,STVSBGI,Y,N,N,
12,775,GRANITE TECHNICAL INSTITUTE (GTI),12-775,,STVSBGI,Y,N,N,
12,710,HUNTER HIGH,12-710,,STVSBGI,Y,N,N,
12,714,KEARNS HIGH,12-714,,STVSBGI,Y,N,N,
12,716,OLYMPUS HIGH,12-716,,STVSBGI,Y,N,N,
12,718,SKYLINE HIGH,12-718,,STVSBGI,Y,N,N,
12,722,TAYLORSVILLE HIGH,12-722,,STVSBGI,Y,N,N,
12,501,YOUTH EDUCATIONAL SUPPORT SCHOOL,12-501,,STVSBGI,Y,N,N,
13,712,CANYON VIEW HIGH,13-712,,STVSBGI,Y,N,N,
13,704,CEDAR CITY HIGH,13-704,,STVSBGI,Y,N,N,
13,708,PAROWAN HIGH,13-708,,STVSBGI,Y,N,N,
13,750,SOUTHWEST EDUCATIONAL ACADEMY,13-750,,STVSBGI,Y,N,N,
14,704,BINGHAM HIGH,14-704,,STVSBGI,Y,N,N,
14,703,COPPER HILLS HIGH,14-703,,STVSBGI,Y,N,N,
14,707,HERRIMAN HIGH,14-707,,STVSBGI,Y,N,N,
14,744,JORDAN ACADEMY FOR TECHNOLOGY & CAREERS SOUTH,14-744,,STVSBGI,Y,N,N,
14,741,JORDAN ACADEMY FOR TECHNOLOGY AND CAREERS - NORTH,14-741,,STVSBGI,Y,N,N,
14,830,KAURI SUE HAMILTON,14-830,,STVSBGI,Y,N,N,
14,710,RIVERTON HIGH,14-710,,STVSBGI,Y,N,N,
14,802,SOUTH VALLEY SCHOOL,14-802,,STVSBGI,Y,N,N,
14,716,VALLEY HIGH SCHOOL,14-716,,STVSBGI,Y,N,N,
14,718,WEST JORDAN HIGH,14-718,,STVSBGI,Y,N,N,
15,704,JUAB HIGH,15-704,,STVSBGI,Y,N,N,
16,712,BIG WATER HIGH,16-712,,STVSBGI,Y,N,N,
16,704,KANAB HIGH,16-704,,STVSBGI,Y,N,N,
16,714,LAKE POWELL HIGH SCHOOL,16-714,,STVSBGI,Y,N,N,
16,708,VALLEY HIGH,16-708,,STVSBGI,Y,N,N,
17,704,DELTA HIGH,17-704,,STVSBGI,Y,N,N,
17,712,ESKDALE HIGH,17-712,,STVSBGI,Y,N,N,
17,708,MILLARD HIGH,17-708,,STVSBGI,Y,N,N,
18,704,MORGAN HIGH,18-704,,STVSBGI,Y,N,N,
19,650,BRIDGES NEBO TRANSITION CENTER,19-650,,STVSBGI,Y,N,N,
19,720,LANDMARK HIGH,19-720,,STVSBGI,Y,N,N,
19,702,MAPLE MOUNTAIN HIGH,19-702,,STVSBGI,Y,N,N,
19,747,NEBO ADVANCED LEARNING CENTER,19-747,,STVSBGI,Y,N,N,
19,704,PAYSON HIGH,19-704,,STVSBGI,Y,N,N,
19,706,SALEM HILLS HIGH,19-706,,STVSBGI,Y,N,N,
19,708,SPANISH FORK HIGH,19-708,,STVSBGI,Y,N,N,
19,712,SPRINGVILLE HIGH,19-712,,STVSBGI,Y,N,N,
1B,700,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),1B-700,,STVSBGI,Y,N,N,
1I,700,UTAH INTERNATIONAL CHARTER SCHOOL,1I-700,,STVSBGI,Y,N,N,
1J,800,AMERICAN INTERNATIONAL SCHOOL OF UTAH,1J-800,,STVSBGI,Y,N,N,
1K,700,VANGUARD ACADEMY,1K-700,,STVSBGI,Y,N,N,
20,704,NORTH SANPETE HIGH,20-704,,STVSBGI,Y,N,N,
20,801,NORTH SANPETE SPECIAL PURPOSE SCHOOL,20-801,,STVSBGI,Y,N,N,
21,704,NORTH SUMMIT HIGH,21-704,,STVSBGI,Y,N,N,
22,704,PARK CITY HIGH,22-704,,STVSBGI,Y,N,N,
23,708,PIUTE HIGH,23-708,,STVSBGI,Y,N,N,
24,708,RICH HIGH,24-708,,STVSBGI,Y,N,N,
25,704,MONTICELLO HIGH,25-704,,STVSBGI,Y,N,N,
25,706,MONUMENT VALLEY HIGH,25-706,,STVSBGI,Y,N,N,
25,712,NAVAJO MOUNTAIN HIGH,25-712,,STVSBGI,Y,N,N,
25,708,SAN JUAN HIGH,25-708,,STVSBGI,Y,N,N,
25,710,WHITEHORSE HIGH,25-710,,STVSBGI,Y,N,N,
26,716,CEDAR RIDGE HIGH,26-716,,STVSBGI,Y,N,N,
26,704,NORTH SEVIER HIGH,26-704,,STVSBGI,Y,N,N,
26,708,RICHFIELD HIGH,26-708,,STVSBGI,Y,N,N,
26,600,SEVIER CAREER AND TECHNICAL EDUCATION CENTER,26-600,,STVSBGI,Y,N,N,
26,340,SEVIER CONNECTION ONLINE,26-340,,STVSBGI,Y,N,N,
26,712,SOUTH SEVIER HIGH,26-712,,STVSBGI,Y,N,N,
27,704,GUNNISON VALLEY HIGH,27-704,,STVSBGI,Y,N,N,
27,708,MANTI HIGH,27-708,,STVSBGI,Y,N,N,
27,801,SOUTH SANPETE EDUCATION SUPPORT CENTER,27-801,,STVSBGI,Y,N,N,
28,704,SOUTH SUMMIT HIGH,28-704,,STVSBGI,Y,N,N,
29,704,TINTIC HIGH,29-704,,STVSBGI,Y,N,N,
29,708,WEST DESERT HIGH SCHOOL,29-708,,STVSBGI,Y,N,N,
2C,600,INTECH COLLEGIATE HIGH SCHOOL,2C-600,,STVSBGI,Y,N,N,
2E,700,KARL G MAESER PREPARATORY ACADEMY,2E-700,,STVSBGI,Y,N,N,
2F,700,ROCKWELL CHARTER HIGH SCHOOL,2F-700,,STVSBGI,Y,N,N,
2H,101,UTAH CONNECTIONS ACADEMY,2H-101,,STVSBGI,Y,N,N,
2K,700,UTAH MILITARY ACADEMY,2K-700,,STVSBGI,Y,N,N,
30,740,BLUE PEAK HIGH,30-740,,STVSBGI,Y,N,N,
30,600,DUGWAY,30-600,,STVSBGI,Y,N,N,
30,708,GRANTSVILLE HIGH,30-708,,STVSBGI,Y,N,N,
30,720,STANSBURY HIGH,30-720,,STVSBGI,Y,N,N,
30,730,TOOELE COMMUNITY LEARNING CENTER,30-730,,STVSBGI,Y,N,N,
30,712,TOOELE HIGH,30-712,,STVSBGI,Y,N,N,
30,714,WENDOVER HIGH,30-714,,STVSBGI,Y,N,N,
31,750,ASHLEY VALLEY EDUC CTR,31-750,,STVSBGI,Y,N,N,
31,704,UINTAH HIGH,31-704,,STVSBGI,Y,N,N,
32,704,WASATCH HIGH,32-704,,STVSBGI,Y,N,N,
33,703,DESERT HILLS HIGH,33-703,,STVSBGI,Y,N,N,
33,704,DIXIE HIGH,33-704,,STVSBGI,Y,N,N,
33,712,ENTERPRISE HIGH,33-712,,STVSBGI,Y,N,N,
33,716,HURRICANE HIGH,33-716,,STVSBGI,Y,N,N,
33,718,MILLCREEK HIGH,33-718,,STVSBGI,Y,N,N,
33,720,PINE VIEW HIGH,33-720,,STVSBGI,Y,N,N,
33,240,POST HS SELF-CONT,33-240,,STVSBGI,Y,N,N,
33,725,SNOW CANYON HIGH,33-725,,STVSBGI,Y,N,N,
33,500,UTAH ONLINE 7-12,33-500,,STVSBGI,Y,N,N,
33,518,WATER CANYON HIGH,33-518,,STVSBGI,Y,N,N,
34,704,WAYNE HIGH,34-704,,STVSBGI,Y,N,N,
35,701,BONNEVILLE HIGH,35-701,,STVSBGI,Y,N,N,
35,706,FREMONT HIGH,35-706,,STVSBGI,Y,N,N,
35,708,ROY HIGH,35-708,,STVSBGI,Y,N,N,
35,730,TWO RIVERS HIGH,35-730,,STVSBGI,Y,N,N,
35,760,WEBER BASIN JOB CORPS,35-760,,STVSBGI,Y,N,N,
35,704,WEBER HIGH,35-704,,STVSBGI,Y,N,N,
35,725,WEBER INNOVATION HIGH SCHOOL,35-725,,STVSBGI,Y,N,N,
36,821,COLUMBUS COMMUNITY CENTER,36-821,,STVSBGI,Y,N,N,
36,704,EAST HIGH,36-704,,STVSBGI,Y,N,N,
36,708,HIGHLAND HIGH,36-708,,STVSBGI,Y,N,N,
36,750,HORIZONTE INSTR & TRN CTR,36-750,,STVSBGI,Y,N,N,
36,748,INNOVATIONS HIGH SCHOOL,36-748,,STVSBGI,Y,N,N,
36,716,WEST HIGH,36-716,,STVSBGI,Y,N,N,
37,703,BEN LOMOND HIGH,37-703,,STVSBGI,Y,N,N,
37,182,CONTRACTED SPECIAL EDUCATION,37-182,,STVSBGI,Y,N,N,
37,729,GEORGE WASHINGTON HIGH,37-729,,STVSBGI,Y,N,N,
37,707,OGDEN HIGH,37-707,,STVSBGI,Y,N,N,
37,620,SPEC EDUC ATC,37-620,,STVSBGI,Y,N,N,
38,510,ESCHOOL@PROVO SCHOOL DISTRICT,38-510,,STVSBGI,Y,N,N,
38,730,INDEPENDENCE HIGH,38-730,,STVSBGI,Y,N,N,
38,560,OAK SPRINGS SCHOOL,38-560,,STVSBGI,Y,N,N,
38,704,PROVO HIGH,38-704,,STVSBGI,Y,N,N,
38,712,TIMPVIEW HIGH,38-712,,STVSBGI,Y,N,N,
39,704,LOGAN HIGH,39-704,,STVSBGI,Y,N,N,
3B,700,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),3B-700,,STVSBGI,Y,N,N,
3D,100,SPECTRUM ACADEMY - NSL,3D-100,,STVSBGI,Y,N,N,
3F,100,VENTURE ACADEMY,3F-100,,STVSBGI,Y,N,N,
3K,700,ROOTS CHARTER HIGH SCHOOL,3K-700,,STVSBGI,Y,N,N,
40,650,MURRAY ADULT TRANSITION,40-650,,STVSBGI,Y,N,N,
40,704,MURRAY HIGH,40-704,,STVSBGI,Y,N,N,
41,211,BLIND REGION 2,41-211,,STVSBGI,Y,N,N,
41,421,JEAN MASSIEU SCHOOL FOR THE DEAF,41-421,,STVSBGI,Y,N,N,
41,111,NORTH REGION BLIND,41-111,,STVSBGI,Y,N,N,
41,121,NORTH REGION DEAF,41-121,,STVSBGI,Y,N,N,
41,321,SOUTH REGION DEAF,41-321,,STVSBGI,Y,N,N,
42,702,ALTA HIGH,42-702,,STVSBGI,Y,N,N,
42,705,BRIGHTON HIGH,42-705,,STVSBGI,Y,N,N,
42,740,CANYONS TECHNICAL EDUCATION CENTER,42-740,,STVSBGI,Y,N,N,
42,840,CANYONS TRANSITION ACADEMY,42-840,,STVSBGI,Y,N,N,
42,711,CORNER CANYON HIGH,42-711,,STVSBGI,Y,N,N,
42,750,DIAMOND RIDGE HIGH SCHOOL,42-750,,STVSBGI,Y,N,N,
42,950,ENTRADA,42-950,,STVSBGI,Y,N,N,
42,706,HILLCREST HIGH,42-706,,STVSBGI,Y,N,N,
42,708,JORDAN HIGH,42-708,,STVSBGI,Y,N,N,
42,810,JORDAN VALLEY SCHOOL,42-810,,STVSBGI,Y,N,N,
42,712,SOUTH PARK ACADEMY,42-712,,STVSBGI,Y,N,N,
43,700,UTAH ELECTRONIC HIGH SCHOOL,43-700,,STVSBGI,Y,N,N,
4F,300,SALT LAKE CENTER FOR SCIENCE EDUCATION,4F-300,,STVSBGI,Y,N,N,
4I,700,MANA ACADEMY CHARTER SCHOOL,4I-700,,STVSBGI,Y,N,N,
4J,700,KAIROS ACADEMY,4J-700,,STVSBGI,Y,N,N,
4K,300,ATHENIAN eACADEMY,4K-300,,STVSBGI,Y,N,N,
5F,700,UTAH VIRTUAL ACADEMY,5F-700,,STVSBGI,Y,N,N,
74,110,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,74-110,,STVSBGI,Y,N,N,
74,700,AMERICAN PREPARATORY ACADEMY - DRAPER #3,74-700,,STVSBGI,Y,N,N,
7D,700,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,7D-700,,STVSBGI,Y,N,N,
7G,700,SUMMIT ACADEMY HIGH SCHOOL,7G-700,,STVSBGI,Y,N,N,
81,300,WALDEN SCHOOL OF LIBERAL ARTS,81-300,,STVSBGI,Y,N,N,
82,100,FREEDOM PREPARATORY ACADEMY,82-100,,STVSBGI,Y,N,N,
83,700,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),83-700,,STVSBGI,Y,N,N,
86,100,PINNACLE CANYON ACADEMY,86-100,,STVSBGI,Y,N,N,
87,700,CITY ACADEMY,87-700,,STVSBGI,Y,N,N,
8B,100,AMERICAN LEADERSHIP ACADEMY,8B-100,,STVSBGI,Y,N,N,
8E,700,MERIT COLLEGE PREPARATORY ACADEMY,8E-700,,STVSBGI,Y,N,N,
8I,700,WINTER SPORTS SCHOOL,8I-700,,STVSBGI,Y,N,N,
8J,300,TERRA ACADEMY,8J-300,,STVSBGI,Y,N,N,
90,700,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,90-700,,STVSBGI,Y,N,N,
92,700,UINTAH RIVER HIGH,92-700,,STVSBGI,Y,N,N,
98,700,FAST FORWARD HIGH,98-700,,STVSBGI,Y,N,N,
9C,700,PARADIGM HIGH SCHOOL,9C-700,,STVSBGI,Y,N,N,
9E,100,PROVIDENCE HALL,9E-100,,STVSBGI,Y,N,N,
9F,600,MOUNTAIN HEIGHTS ACADEMY,9F-600,,STVSBGI,Y,N,N,
9H,700,PIONEER HIGH SCHOOL FOR THE PERFORMING ARTS,9H-700,,STVSBGI,Y,N,N,
9I,600,UTAH CAREER PATH HIGH SCHOOL,9I-600,,STVSBGI,Y,N,N,
9J,300,LUMEN SCHOLAR INSTITUTE,9J-300,,STVSBGI,Y,N,N,
A1,700,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),A1-700,,STVSBGI,Y,N,N,
A3,700,DAVINCI ACADEMY,A3-700,,STVSBGI,Y,N,N,
A5,700,ITINERIS EARLY COLLEGE HIGH,A5-700,,STVSBGI,Y,N,N,
A8,700,EAST HOLLYWOOD HIGH,A8-700,,STVSBGI,Y,N,N,
A9,710,SUCCESS DSU,A9-710,,STVSBGI,Y,N,N,
A9,700,SUCCESS SUU,A9-700,,STVSBGI,Y,N,N,
